time	V(h)	V(vin)
4.864393601966672e-003	7.447582e-002	1.000000e+000
4.866078050853243e-003	7.422923e-002	1.000000e+000
4.867024845081510e-003	7.409349e-002	1.000000e+000
4.867943882336444e-003	7.395879e-002	1.000000e+000
4.868875907875837e-003	7.382209e-002	1.000000e+000
4.869895627209520e-003	7.367481e-002	1.000000e+000
4.870822497513219e-003	7.354049e-002	1.000000e+000
4.871890759468731e-003	7.338409e-002	1.000000e+000
4.872802755183368e-003	7.325123e-002	1.000000e+000
4.873898243043980e-003	7.309254e-002	1.000000e+000
4.874914262198532e-003	7.294457e-002	1.000000e+000
4.877208133590604e-003	7.261050e-002	1.000000e+000
4.878126979471046e-003	7.247690e-002	1.000000e+000
4.879142267359759e-003	7.232871e-002	1.000000e+000
4.880506890412916e-003	7.213008e-002	1.000000e+000
4.882321399176557e-003	7.186585e-002	1.000000e+000
4.885548255878450e-003	7.139573e-002	1.000000e+000
4.942203304224065e-003	6.306858e-002	1.000000e+000
4.998858352569681e-003	5.477788e-002	1.000000e+000
5.055513400915297e-003	4.652361e-002	1.000000e+000
5.112168449260913e-003	3.830577e-002	1.000000e+000
5.168823497606528e-003	3.012437e-002	1.000000e+000
5.225478545952144e-003	2.197941e-002	1.000000e+000
5.282133594297760e-003	1.387089e-002	1.000000e+000
5.350492969297760e-003	4.300725e-003	1.000000e+000
5.384672656797760e-003	-4.137467e-004	1.000000e+000
5.418852344297761e-003	-5.075668e-003	1.000000e+000
5.487211719297761e-003	-1.422601e-002	1.000000e+000
5.555571094297761e-003	-2.311960e-002	1.000000e+000
5.658110156797762e-003	-3.591540e-002	1.000000e+000
5.760649219297762e-003	-4.797738e-002	1.000000e+000
5.863188281797762e-003	-5.922328e-002	1.000000e+000
5.965727344297763e-003	-6.957994e-002	1.000000e+000
6.068266406797763e-003	-7.898362e-002	1.000000e+000
6.170805469297764e-003	-8.738028e-002	1.000000e+000
6.268461719297764e-003	-9.442203e-002	1.000000e+000
6.366117969297765e-003	-1.004512e-001	1.000000e+000
6.463774219297765e-003	-1.054679e-001	1.000000e+000
6.561430469297766e-003	-1.094720e-001	1.000000e+000
6.659086719297765e-003	-1.124636e-001	1.000000e+000
6.756742969297766e-003	-1.144427e-001	1.000000e+000
6.854399219297766e-003	-1.154092e-001	1.000000e+000
6.956938281797767e-003	-1.152283e-001	1.000000e+000
7.059477344297767e-003	-1.141079e-001	1.000000e+000
7.162016406797768e-003	-1.120478e-001	1.000000e+000
7.264555469297768e-003	-1.090481e-001	1.000000e+000
7.367094531797768e-003	-1.051089e-001	1.000000e+000
7.469633594297769e-003	-1.002300e-001	1.000000e+000
7.572172656797769e-003	-9.441154e-002	1.000000e+000
7.660063281797770e-003	-8.884123e-002	1.000000e+000
7.747953906797770e-003	-8.292477e-002	1.000000e+000
7.835844531797771e-003	-7.666213e-002	1.000000e+000
7.923735156797770e-003	-7.005333e-002	1.000000e+000
8.011625781797772e-003	-6.309837e-002	1.000000e+000
8.099516406797772e-003	-5.579725e-002	1.000000e+000
8.187407031797772e-003	-4.814995e-002	1.000000e+000
8.246000781797772e-003	-4.301273e-002	1.000000e+000
8.304594531797773e-003	-3.786394e-002	1.000000e+000
8.363188281797773e-003	-3.270359e-002	1.000000e+000
8.421782031797772e-003	-2.753168e-002	1.000000e+000
8.480375781797772e-003	-2.234821e-002	1.000000e+000
8.538969531797773e-003	-1.715317e-002	1.000000e+000
8.597563281797773e-003	-1.194657e-002	1.000000e+000
8.700102344297774e-003	-3.017862e-003	1.000000e+000
8.734282031797774e-003	-8.479587e-005	1.000000e+000
8.802641406797774e-003	5.699539e-003	1.000000e+000
8.871000781797775e-003	1.135658e-002	1.000000e+000
8.973539844297775e-003	1.955761e-002	1.000000e+000
9.076078906797775e-003	2.735810e-002	1.000000e+000
9.178617969297776e-003	3.469660e-002	1.000000e+000
9.281157031797776e-003	4.151753e-002	1.000000e+000
9.383696094297777e-003	4.777156e-002	1.000000e+000
9.486235156797777e-003	5.341594e-002	1.000000e+000
